short S&P500_unscaled,short S&P500_monthly,scale,short S&P500
0,20.0,0.2,0.0
0,20.0,0.2,0.0
100,20.0,0.2,20.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
91,20.0,0.2,18.2
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
92,20.0,0.2,18.400000000000002
92,20.0,0.2,18.400000000000002
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,20.0,0.2,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
100,27.0,0.27,27.0
0,27.0,0.27,0.0
0,27.0,0.27,0.0
0,32.0,0.32,0.0
99,32.0,0.32,31.68
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
100,32.0,0.32,32.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
100,32.0,0.32,32.0
0,32.0,0.32,0.0
83,85.0,0.85,70.55
0,85.0,0.85,0.0
89,85.0,0.85,75.64999999999999
0,85.0,0.85,0.0
0,85.0,0.85,0.0
82,85.0,0.85,69.7
0,85.0,0.85,0.0
0,85.0,0.85,0.0
83,85.0,0.85,70.55
0,85.0,0.85,0.0
