S&P500_unscaled,S&P500_monthly,scale,S&P500
100,23.0,0.23,23.0
46,23.0,0.23,10.58
35,23.0,0.23,8.05
78,23.0,0.23,17.94
57,23.0,0.23,13.110000000000001
14,23.0,0.23,3.22
15,23.0,0.23,3.45
62,23.0,0.23,14.26
60,23.0,0.23,13.8
61,23.0,0.23,14.030000000000001
66,23.0,0.23,15.180000000000001
48,23.0,0.23,11.040000000000001
27,23.0,0.23,6.21
44,23.0,0.23,10.120000000000001
38,23.0,0.23,8.74
30,23.0,0.23,6.9
77,23.0,0.23,17.71
65,21.0,0.21,13.65
32,21.0,0.21,6.72
30,21.0,0.21,6.3
25,21.0,0.21,5.25
51,21.0,0.21,10.709999999999999
59,21.0,0.21,12.389999999999999
50,21.0,0.21,10.5
68,21.0,0.21,14.28
58,21.0,0.21,12.18
45,21.0,0.21,9.45
29,21.0,0.21,6.09
62,21.0,0.21,13.02
100,21.0,0.21,21.0
63,21.0,0.21,13.229999999999999
59,21.0,0.21,12.389999999999999
39,21.0,0.21,8.19
36,21.0,0.21,7.56
30,21.0,0.21,6.3
59,21.0,0.21,12.389999999999999
68,21.0,0.21,14.28
55,21.0,0.21,11.549999999999999
66,21.0,0.21,13.86
63,21.0,0.21,13.229999999999999
23,21.0,0.21,4.83
34,21.0,0.21,7.14
48,21.0,0.21,10.08
36,21.0,0.21,7.56
55,21.0,0.21,11.549999999999999
66,21.0,0.21,13.86
79,21.0,0.21,16.59
29,21.0,0.21,6.09
33,21.0,0.21,6.93
70,21.0,0.21,14.7
63,21.0,0.21,13.229999999999999
58,21.0,0.21,12.18
77,21.0,0.21,16.169999999999998
74,21.0,0.21,15.54
47,21.0,0.21,9.87
67,21.0,0.21,14.07
88,21.0,0.21,18.48
72,21.0,0.21,15.12
54,21.0,0.21,11.34
66,21.0,0.21,13.86
73,21.0,0.21,15.33
20,21.0,0.21,4.2
58,21.0,0.21,12.18
53,21.0,0.21,11.129999999999999
47,21.0,0.21,9.87
93,21.0,0.21,19.529999999999998
100,21.0,0.21,21.0
82,21.0,0.21,17.22
74,21.0,0.21,15.54
60,21.0,0.21,12.6
76,21.0,0.21,15.959999999999999
49,21.0,0.21,10.29
59,21.0,0.21,12.389999999999999
88,21.0,0.21,18.48
60,21.0,0.21,12.6
47,21.0,0.21,9.87
33,21.0,0.21,6.93
60,21.0,0.21,12.6
54,23.0,0.23,12.42
55,23.0,0.23,12.65
85,23.0,0.23,19.55
37,23.0,0.23,8.51
17,23.0,0.23,3.91
42,23.0,0.23,9.66
61,23.0,0.23,14.030000000000001
40,23.0,0.23,9.200000000000001
88,23.0,0.23,20.240000000000002
89,23.0,0.23,20.470000000000002
100,23.0,0.23,23.0
33,23.0,0.23,7.590000000000001
49,23.0,0.23,11.270000000000001
47,23.0,0.23,10.81
61,23.0,0.23,14.030000000000001
56,23.0,0.23,12.88
97,23.0,0.23,22.310000000000002
71,23.0,0.23,16.330000000000002
50,23.0,0.23,11.5
33,23.0,0.23,7.590000000000001
61,23.0,0.23,14.030000000000001
54,23.0,0.23,12.42
56,23.0,0.23,12.88
55,23.0,0.23,12.65
58,23.0,0.23,13.34
67,23.0,0.23,15.41
34,23.0,0.23,7.82
55,23.0,0.23,12.65
55,23.0,0.23,12.65
68,23.0,0.23,15.64
83,23.0,0.23,19.09
100,24.0,0.24,24.0
35,24.0,0.24,8.4
46,24.0,0.24,11.04
57,24.0,0.24,13.68
75,24.0,0.24,18.0
76,24.0,0.24,18.24
89,24.0,0.24,21.36
61,24.0,0.24,14.639999999999999
35,24.0,0.24,8.4
35,24.0,0.24,8.4
38,24.0,0.24,9.12
51,24.0,0.24,12.24
61,24.0,0.24,14.639999999999999
62,24.0,0.24,14.879999999999999
86,24.0,0.24,20.64
42,24.0,0.24,10.08
17,24.0,0.24,4.08
80,24.0,0.24,19.2
56,24.0,0.24,13.44
61,24.0,0.24,14.639999999999999
52,24.0,0.24,12.48
87,24.0,0.24,20.88
44,24.0,0.24,10.559999999999999
22,24.0,0.24,5.279999999999999
77,24.0,0.24,18.48
64,24.0,0.24,15.36
68,24.0,0.24,16.32
83,24.0,0.24,19.919999999999998
83,24.0,0.24,19.919999999999998
41,24.0,0.24,9.84
43,24.0,0.24,10.32
33,28.0,0.28,9.24
85,28.0,0.28,23.8
69,28.0,0.28,19.32
95,28.0,0.28,26.6
60,28.0,0.28,16.8
37,28.0,0.28,10.360000000000001
44,28.0,0.28,12.32
41,28.0,0.28,11.48
100,28.0,0.28,28.000000000000004
65,28.0,0.28,18.200000000000003
86,28.0,0.28,24.080000000000002
85,28.0,0.28,23.8
30,28.0,0.28,8.4
24,28.0,0.28,6.720000000000001
89,28.0,0.28,24.92
90,28.0,0.28,25.200000000000003
85,28.0,0.28,23.8
49,28.0,0.28,13.72
90,28.0,0.28,25.200000000000003
36,28.0,0.28,10.080000000000002
28,28.0,0.28,7.840000000000001
57,28.0,0.28,15.96
72,28.0,0.28,20.160000000000004
69,28.0,0.28,19.32
86,28.0,0.28,24.080000000000002
77,28.0,0.28,21.560000000000002
15,28.0,0.28,4.2
43,28.0,0.28,12.040000000000001
52,28.0,0.28,14.560000000000002
97,28.0,0.28,27.160000000000004
63,36.0,0.36,22.68
33,36.0,0.36,11.879999999999999
42,36.0,0.36,15.12
24,36.0,0.36,8.64
23,36.0,0.36,8.28
42,36.0,0.36,15.12
32,36.0,0.36,11.52
29,36.0,0.36,10.44
56,36.0,0.36,20.16
51,36.0,0.36,18.36
31,36.0,0.36,11.16
15,36.0,0.36,5.3999999999999995
64,36.0,0.36,23.04
58,36.0,0.36,20.88
86,36.0,0.36,30.959999999999997
100,36.0,0.36,36.0
50,36.0,0.36,18.0
28,36.0,0.36,10.08
30,36.0,0.36,10.799999999999999
38,36.0,0.36,13.68
85,36.0,0.36,30.599999999999998
48,36.0,0.36,17.28
49,36.0,0.36,17.64
47,36.0,0.36,16.919999999999998
31,36.0,0.36,11.16
22,36.0,0.36,7.92
44,36.0,0.36,15.84
41,36.0,0.36,14.76
