S&P500_unscaled,S&P500_monthly,scale,S&P500
27,20.0,0.2,5.4
29,20.0,0.2,5.800000000000001
52,20.0,0.2,10.4
57,20.0,0.2,11.4
52,20.0,0.2,10.4
60,20.0,0.2,12.0
40,20.0,0.2,8.0
34,20.0,0.2,6.800000000000001
74,20.0,0.2,14.8
57,20.0,0.2,11.4
92,20.0,0.2,18.400000000000002
100,20.0,0.2,20.0
42,20.0,0.2,8.4
24,26.0,0.26,6.24
17,26.0,0.26,4.42
100,26.0,0.26,26.0
80,26.0,0.26,20.8
50,26.0,0.26,13.0
82,26.0,0.26,21.32
46,26.0,0.26,11.96
35,26.0,0.26,9.1
17,26.0,0.26,4.42
69,26.0,0.26,17.94
49,26.0,0.26,12.74
69,26.0,0.26,17.94
60,26.0,0.26,15.600000000000001
47,26.0,0.26,12.22
42,26.0,0.26,10.92
17,26.0,0.26,4.42
50,26.0,0.26,13.0
40,26.0,0.26,10.4
60,26.0,0.26,15.600000000000001
66,26.0,0.26,17.16
58,26.0,0.26,15.08
18,26.0,0.26,4.68
17,26.0,0.26,4.42
64,26.0,0.26,16.64
60,26.0,0.26,15.600000000000001
83,26.0,0.26,21.580000000000002
65,26.0,0.26,16.900000000000002
58,26.0,0.26,15.08
28,24.0,0.24,6.72
33,24.0,0.24,7.92
86,24.0,0.24,20.64
43,24.0,0.24,10.32
53,24.0,0.24,12.719999999999999
48,24.0,0.24,11.52
100,24.0,0.24,24.0
40,24.0,0.24,9.6
28,24.0,0.24,6.72
48,24.0,0.24,11.52
66,24.0,0.24,15.84
52,24.0,0.24,12.48
53,24.0,0.24,12.719999999999999
60,24.0,0.24,14.399999999999999
34,24.0,0.24,8.16
44,24.0,0.24,10.559999999999999
43,24.0,0.24,10.32
52,24.0,0.24,12.48
52,24.0,0.24,12.48
53,24.0,0.24,12.719999999999999
55,24.0,0.24,13.2
28,24.0,0.24,6.72
27,24.0,0.24,6.4799999999999995
52,24.0,0.24,12.48
37,24.0,0.24,8.879999999999999
56,24.0,0.24,13.44
34,24.0,0.24,8.16
50,24.0,0.24,12.0
39,24.0,0.24,9.36
17,24.0,0.24,4.08
52,24.0,0.24,12.48
55,23.0,0.23,12.65
77,23.0,0.23,17.71
88,23.0,0.23,20.240000000000002
92,23.0,0.23,21.16
26,23.0,0.23,5.98
26,23.0,0.23,5.98
97,23.0,0.23,22.310000000000002
54,23.0,0.23,12.42
66,23.0,0.23,15.180000000000001
56,23.0,0.23,12.88
95,23.0,0.23,21.85
13,23.0,0.23,2.99
66,23.0,0.23,15.180000000000001
66,23.0,0.23,15.180000000000001
68,23.0,0.23,15.64
11,23.0,0.23,2.5300000000000002
59,23.0,0.23,13.57
25,23.0,0.23,5.75
0,23.0,0.23,0.0
28,23.0,0.23,6.44
60,23.0,0.23,13.8
76,23.0,0.23,17.48
22,23.0,0.23,5.0600000000000005
100,23.0,0.23,23.0
59,23.0,0.23,13.57
39,23.0,0.23,8.97
51,23.0,0.23,11.73
66,23.0,0.23,15.180000000000001
98,23.0,0.23,22.540000000000003
45,23.0,0.23,10.35
64,20.0,0.2,12.8
26,20.0,0.2,5.2
29,20.0,0.2,5.800000000000001
23,20.0,0.2,4.6000000000000005
20,20.0,0.2,4.0
39,20.0,0.2,7.800000000000001
43,20.0,0.2,8.6
44,20.0,0.2,8.8
56,20.0,0.2,11.200000000000001
29,20.0,0.2,5.800000000000001
11,20.0,0.2,2.2
52,20.0,0.2,10.4
100,20.0,0.2,20.0
49,20.0,0.2,9.8
54,20.0,0.2,10.8
40,20.0,0.2,8.0
18,20.0,0.2,3.6
23,20.0,0.2,4.6000000000000005
44,20.0,0.2,8.8
29,20.0,0.2,5.800000000000001
64,20.0,0.2,12.8
32,20.0,0.2,6.4
67,20.0,0.2,13.4
