buy S&P500_unscaled,buy S&P500_monthly,scale,buy S&P500
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
100,29.0,0.29,28.999999999999996
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
85,63.0,0.63,53.55
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
83,63.0,0.63,52.29
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
82,63.0,0.63,51.660000000000004
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
0,63.0,0.63,0.0
100,63.0,0.63,63.0
0,63.0,0.63,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
83,31.0,0.31,25.73
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
100,31.0,0.31,31.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
87,31.0,0.31,26.97
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
100,31.0,0.31,31.0
73,31.0,0.31,22.63
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
79,31.0,0.31,24.49
0,31.0,0.31,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
93,91.0,0.91,84.63000000000001
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
100,91.0,0.91,91.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
95,91.0,0.91,86.45
99,91.0,0.91,90.09
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,91.0,0.91,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
95,28.0,0.28,26.6
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
100,28.0,0.28,28.000000000000004
0,28.0,0.28,0.0
0,28.0,0.28,0.0
96,28.0,0.28,26.880000000000003
93,28.0,0.28,26.040000000000003
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
94,28.0,0.28,26.320000000000004
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,43.0,0.43,0.0
100,43.0,0.43,43.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
87,43.0,0.43,37.41
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
89,43.0,0.43,38.269999999999996
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,43.0,0.43,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
100,71.0,0.71,71.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
91,71.0,0.71,64.61
92,71.0,0.71,65.32
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
93,71.0,0.71,66.03
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
0,71.0,0.71,0.0
94,71.0,0.71,66.74
0,71.0,0.71,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
86,26.0,0.26,22.36
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
100,26.0,0.26,26.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
84,26.0,0.26,21.84
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
100,0.0,0.0,0.0
85,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
85,0.0,0.0,0.0
90,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
90,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
84,0.0,0.0,0.0
0,0.0,0.0,0.0
85,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
100,51.0,0.51,51.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,0.0,0.0,0.0
90,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
