us economy bad_unscaled,us economy bad_monthly,scale,us economy bad
67,23.0,0.23,15.41
0,67.0,0.67,0.0
51,67.0,0.67,34.17
44,67.0,0.67,29.48
0,67.0,0.67,0.0
43,67.0,0.67,28.810000000000002
44,67.0,0.67,29.48
47,67.0,0.67,31.490000000000002
0,67.0,0.67,0.0
0,67.0,0.67,0.0
71,67.0,0.67,47.57
0,67.0,0.67,0.0
0,67.0,0.67,0.0
66,67.0,0.67,44.220000000000006
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
43,67.0,0.67,28.810000000000002
42,67.0,0.67,28.14
58,67.0,0.67,38.86
44,67.0,0.67,29.48
69,67.0,0.67,46.230000000000004
50,67.0,0.67,33.5
49,67.0,0.67,32.830000000000005
43,67.0,0.67,28.810000000000002
0,67.0,0.67,0.0
43,67.0,0.67,28.810000000000002
43,67.0,0.67,28.810000000000002
89,67.0,0.67,59.63
100,67.0,0.67,67.0
49,67.0,0.67,32.830000000000005
65,33.0,0.33,21.45
32,33.0,0.33,10.56
33,33.0,0.33,10.89
32,33.0,0.33,10.56
68,33.0,0.33,22.44
37,33.0,0.33,12.21
36,33.0,0.33,11.88
33,33.0,0.33,10.89
0,33.0,0.33,0.0
33,33.0,0.33,10.89
0,33.0,0.33,0.0
0,33.0,0.33,0.0
38,33.0,0.33,12.540000000000001
38,33.0,0.33,12.540000000000001
0,33.0,0.33,0.0
66,33.0,0.33,21.78
33,33.0,0.33,10.89
34,33.0,0.33,11.22
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
33,33.0,0.33,10.89
0,33.0,0.33,0.0
0,33.0,0.33,0.0
33,33.0,0.33,10.89
34,33.0,0.33,11.22
37,33.0,0.33,12.21
37,33.0,0.33,12.21
0,33.0,0.33,0.0
0,33.0,0.33,0.0
100,33.0,0.33,33.0
36,68.0,0.68,24.48
37,68.0,0.68,25.16
0,68.0,0.68,0.0
37,68.0,0.68,25.16
32,68.0,0.68,21.76
34,68.0,0.68,23.12
50,68.0,0.68,34.0
0,68.0,0.68,0.0
0,68.0,0.68,0.0
77,68.0,0.68,52.36000000000001
37,68.0,0.68,25.16
33,68.0,0.68,22.44
0,68.0,0.68,0.0
67,68.0,0.68,45.56
34,68.0,0.68,23.12
35,68.0,0.68,23.8
40,68.0,0.68,27.200000000000003
39,68.0,0.68,26.520000000000003
34,68.0,0.68,23.12
66,68.0,0.68,44.88
35,68.0,0.68,23.8
36,68.0,0.68,24.48
35,68.0,0.68,23.8
0,68.0,0.68,0.0
38,68.0,0.68,25.840000000000003
0,68.0,0.68,0.0
33,68.0,0.68,22.44
34,68.0,0.68,23.12
100,68.0,0.68,68.0
35,68.0,0.68,23.8
50,46.0,0.46,23.0
50,46.0,0.46,23.0
44,46.0,0.46,20.240000000000002
89,46.0,0.46,40.940000000000005
43,46.0,0.46,19.78
45,46.0,0.46,20.7
46,46.0,0.46,21.16
0,46.0,0.46,0.0
100,46.0,0.46,46.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
45,46.0,0.46,20.7
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
47,46.0,0.46,21.62
0,46.0,0.46,0.0
0,46.0,0.46,0.0
54,46.0,0.46,24.84
0,46.0,0.46,0.0
57,46.0,0.46,26.220000000000002
0,46.0,0.46,0.0
0,46.0,0.46,0.0
0,46.0,0.46,0.0
52,46.0,0.46,23.92
0,46.0,0.46,0.0
52,46.0,0.46,23.92
31,54.0,0.54,16.740000000000002
27,54.0,0.54,14.580000000000002
26,54.0,0.54,14.040000000000001
28,54.0,0.54,15.120000000000001
0,54.0,0.54,0.0
29,54.0,0.54,15.66
0,54.0,0.54,0.0
26,54.0,0.54,14.040000000000001
51,54.0,0.54,27.540000000000003
51,54.0,0.54,27.540000000000003
39,54.0,0.54,21.060000000000002
59,54.0,0.54,31.860000000000003
28,54.0,0.54,15.120000000000001
25,54.0,0.54,13.5
100,54.0,0.54,54.0
26,54.0,0.54,14.040000000000001
26,54.0,0.54,14.040000000000001
27,54.0,0.54,14.580000000000002
28,54.0,0.54,15.120000000000001
27,54.0,0.54,14.580000000000002
25,54.0,0.54,13.5
0,54.0,0.54,0.0
24,54.0,0.54,12.96
26,54.0,0.54,14.040000000000001
26,54.0,0.54,14.040000000000001
0,54.0,0.54,0.0
28,54.0,0.54,15.120000000000001
49,54.0,0.54,26.46
26,54.0,0.54,14.040000000000001
0,54.0,0.54,0.0
25,54.0,0.54,13.5
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
33,58.0,0.58,19.139999999999997
33,58.0,0.58,19.139999999999997
33,58.0,0.58,19.139999999999997
100,58.0,0.58,57.99999999999999
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
33,58.0,0.58,19.139999999999997
0,58.0,0.58,0.0
33,58.0,0.58,19.139999999999997
0,58.0,0.58,0.0
35,58.0,0.58,20.299999999999997
38,58.0,0.58,22.04
0,58.0,0.58,0.0
0,58.0,0.58,0.0
32,58.0,0.58,18.56
0,58.0,0.58,0.0
33,58.0,0.58,19.139999999999997
34,58.0,0.58,19.72
38,58.0,0.58,22.04
37,58.0,0.58,21.459999999999997
32,58.0,0.58,18.56
33,58.0,0.58,19.139999999999997
47,58.0,0.58,27.259999999999998
50,58.0,0.58,28.999999999999996
59,72.0,0.72,42.48
0,72.0,0.72,0.0
0,72.0,0.72,0.0
48,72.0,0.72,34.56
44,72.0,0.72,31.68
58,72.0,0.72,41.76
59,72.0,0.72,42.48
30,72.0,0.72,21.599999999999998
33,72.0,0.72,23.759999999999998
32,72.0,0.72,23.04
100,72.0,0.72,72.0
28,72.0,0.72,20.16
0,72.0,0.72,0.0
29,72.0,0.72,20.88
0,72.0,0.72,0.0
34,72.0,0.72,24.48
0,72.0,0.72,0.0
29,72.0,0.72,20.88
28,72.0,0.72,20.16
29,72.0,0.72,20.88
30,72.0,0.72,21.599999999999998
30,72.0,0.72,21.599999999999998
0,72.0,0.72,0.0
0,72.0,0.72,0.0
43,72.0,0.72,30.959999999999997
29,72.0,0.72,20.88
0,72.0,0.72,0.0
30,72.0,0.72,21.599999999999998
31,72.0,0.72,22.32
0,72.0,0.72,0.0
0,72.0,0.72,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
83,32.0,0.32,26.560000000000002
41,32.0,0.32,13.120000000000001
41,32.0,0.32,13.120000000000001
0,32.0,0.32,0.0
45,32.0,0.32,14.4
41,32.0,0.32,13.120000000000001
53,32.0,0.32,16.96
59,32.0,0.32,18.88
41,32.0,0.32,13.120000000000001
43,32.0,0.32,13.76
0,32.0,0.32,0.0
0,32.0,0.32,0.0
40,32.0,0.32,12.8
0,32.0,0.32,0.0
43,32.0,0.32,13.76
0,32.0,0.32,0.0
0,32.0,0.32,0.0
48,32.0,0.32,15.36
100,32.0,0.32,32.0
45,32.0,0.32,14.4
42,32.0,0.32,13.44
0,32.0,0.32,0.0
41,32.0,0.32,13.120000000000001
41,32.0,0.32,13.120000000000001
45,32.0,0.32,14.4
0,32.0,0.32,0.0
0,32.0,0.32,0.0
0,32.0,0.32,0.0
43,49.0,0.49,21.07
80,49.0,0.49,39.2
43,49.0,0.49,21.07
46,49.0,0.49,22.54
46,49.0,0.49,22.54
54,49.0,0.49,26.46
61,49.0,0.49,29.89
40,49.0,0.49,19.6
100,49.0,0.49,49.0
0,49.0,0.49,0.0
48,49.0,0.49,23.52
48,49.0,0.49,23.52
0,49.0,0.49,0.0
41,49.0,0.49,20.09
61,49.0,0.49,29.89
0,49.0,0.49,0.0
42,49.0,0.49,20.58
47,49.0,0.49,23.03
46,49.0,0.49,22.54
40,49.0,0.49,19.6
0,49.0,0.49,0.0
61,49.0,0.49,29.89
0,49.0,0.49,0.0
0,49.0,0.49,0.0
69,49.0,0.49,33.81
0,49.0,0.49,0.0
42,49.0,0.49,20.58
40,49.0,0.49,19.6
0,49.0,0.49,0.0
0,49.0,0.49,0.0
42,49.0,0.49,20.58
0,21.0,0.21,0.0
55,21.0,0.21,11.549999999999999
47,21.0,0.21,9.87
73,21.0,0.21,15.33
49,21.0,0.21,10.29
48,21.0,0.21,10.08
100,21.0,0.21,21.0
0,21.0,0.21,0.0
83,21.0,0.21,17.43
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
48,21.0,0.21,10.08
51,21.0,0.21,10.709999999999999
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
47,21.0,0.21,9.87
49,21.0,0.21,10.29
52,21.0,0.21,10.92
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
47,21.0,0.21,9.87
47,21.0,0.21,9.87
52,21.0,0.21,10.92
0,21.0,0.21,0.0
85,21.0,0.21,17.849999999999998
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
75,21.0,0.21,15.75
100,21.0,0.21,21.0
42,21.0,0.21,8.82
44,21.0,0.21,9.24
